d_t1,theta_t1,d_t2,theta_t2,d_t3,theta_t3,d_t4,theta_t4,d_t5,theta_t5,d_t6,theta_t6,d_t7,theta_t7,d_t8,theta_t8,d_t9,theta_t9,d_t10,theta_t10,d_t11,theta_t11,d_t12,theta_t12,d_t13,theta_t13,v_rel
1.8562967273579911,-1.3272156794027936,1.8562967273579911,-1.3272156794027936,2.16992433047791,-0.03493920190952563,2.0513257786124544,-0.26522163739351245,2.1452133926488512,-0.48731121317609605,2.242010178389028,-0.6327248563719434,2.1817221385868533,-0.7637786841047253,2.3829133618325264,-0.8720658091673902,2.7929461040270698,-0.9382014806811977,2.9031956530692193,-1.1492145447174982,1.0968925562697576,2.7474747644539788,1.8971955829592242,2.35075287413124,2.043903569153887,-1.2948891685004449,2.6611000000000002
1.328446359474104,0.17653418312044875,1.328446359474104,0.17653418312044875,2.136989770682119,-0.07362792471323426,2.0417395255027038,-0.30057666548354056,2.1495525697223643,-0.5138086000176888,2.2562308481181605,-0.6514259127501982,2.2754351539870377,-0.7757024015997033,2.3766855597659533,-0.8907656455014263,2.8242503518633026,-0.9518351657287444,2.9138556604608947,-1.1507042799216831,1.7955785947710539,2.4166014380587515,1.8504121540889191,2.363913688750061,2.423636627054474,-1.2416085400052443,-0.23459999999999998
3.1325965667477864,-2.3734633456857144,1.8619058757090836,0.5162016350103209,2.114498098840478,-0.11917536537488282,2.054716109344551,-0.35048827189390963,2.164927077293827,-0.5367359109583538,2.1484050572459568,-0.5965746705284666,2.2898258536404024,-0.7933653841061372,2.383940540365888,-0.900739421198234,2.8184621799839706,-0.9610150279600455,3.078505848622022,-1.1663225364931826,2.0338224602948984,2.3383231056280276,1.854786197921476,2.3703768547787365,2.528796055438242,-1.2156635356806929,3.2503
1.9877255067035773,-1.597815416782349,1.9750934788004353,0.5875251626671576,2.0970672139919557,-0.18129085032251552,2.065732579498132,-0.3879765725661959,2.1754452417838537,-0.5618639336731023,2.245707489857041,-0.6639058943354142,2.2895354332265736,-0.808872380214301,2.605063624942774,-0.906127167593584,2.8223566553502777,-0.9671093516455138,2.0859823704911817,-1.4171228268426344,2.04602451842592,2.32491255727129,1.818042202480457,2.384085003280003,2.533080513919761,-1.2072249319371322,1.4660000000000002
1.8737622581320166,-1.3469175872456998,2.1051068595204394,0.1807839968938924,2.074279231444021,-0.2015272598444883,2.1004661220786227,-0.4368601266273735,2.190518815258155,-0.5804056973539592,2.2145914950617858,-0.7204399279715137,2.295268308934711,-0.8467119972205823,2.7233952504181254,-0.9147223451860053,2.838714189558364,-0.9777620119262187,1.8640257616245515,-1.565538864506166,2.010174681464275,2.3257622202164954,1.826985560971951,2.3767861906153325,2.553040575470747,-1.1596710153244114,3.0606
1.8711264895778688,-1.3138534419062082,2.184326207323437,0.023945598520597425,2.060960196122189,-0.22997378692483098,2.13256072598179,-0.4682611864169899,2.2149246217422403,-0.6105188377564246,2.166567432599314,-0.7475952915119335,2.374831501391203,-0.8582924233464015,2.7539668280500367,-0.9214635969144075,2.9289939842888018,-1.1307865648737454,1.744060532206381,-1.60032941135275,1.9591923080698355,2.33345472824527,1.0969896991312198,-1.5521989087871766,2.549069014365832,-1.1342402661266235,65.1279
1.8562967273579911,-1.3272156794027936,2.16992433047791,-0.03493920190952563,2.0513257786124544,-0.26522163739351245,2.1452133926488512,-0.48731121317609605,2.242010178389028,-0.6327248563719434,2.1817221385868533,-0.7637786841047253,2.3829133618325264,-0.8720658091673902,2.7929461040270698,-0.9382014806811977,2.9031956530692193,-1.1492145447174982,1.0968925562697576,2.7474747644539788,1.8971955829592242,2.35075287413124,2.043903569153887,-1.2948891685004449,2.6010089888349066,-1.092395858969254,22.3539
1.328446359474104,0.17653418312044875,2.136989770682119,-0.07362792471323426,2.0417395255027038,-0.30057666548354056,2.1495525697223643,-0.5138086000176888,2.2562308481181605,-0.6514259127501982,2.2754351539870377,-0.7757024015997033,2.3766855597659533,-0.8907656455014263,2.8242503518633026,-0.9518351657287444,2.9138556604608947,-1.1507042799216831,1.7955785947710539,2.4166014380587515,1.8504121540889191,2.363913688750061,2.423636627054474,-1.2416085400052443,2.1270934159081967,-0.1435990900862911,6.255
1.8619058757090836,0.5162016350103209,2.114498098840478,-0.11917536537488282,2.054716109344551,-0.35048827189390963,2.164927077293827,-0.5367359109583538,2.1484050572459568,-0.5965746705284666,2.2898258536404024,-0.7933653841061372,2.383940540365888,-0.900739421198234,2.8184621799839706,-0.9610150279600455,3.078505848622022,-1.1663225364931826,2.0338224602948984,2.3383231056280276,1.854786197921476,2.3703768547787365,2.528796055438242,-1.2156635356806929,2.4154492108094505,0.175609913826289,0.5031000000000001
1.9750934788004353,0.5875251626671576,2.0970672139919557,-0.18129085032251552,2.065732579498132,-0.3879765725661959,2.1754452417838537,-0.5618639336731023,2.245707489857041,-0.6639058943354142,2.2895354332265736,-0.808872380214301,2.605063624942774,-0.906127167593584,2.8223566553502777,-0.9671093516455138,2.0859823704911817,-1.4171228268426344,2.04602451842592,2.32491255727129,1.818042202480457,2.384085003280003,2.533080513919761,-1.2072249319371322,2.5240692106200266,0.2786642749177724,-7.8853
2.1051068595204394,0.1807839968938924,2.074279231444021,-0.2015272598444883,2.1004661220786227,-0.4368601266273735,2.190518815258155,-0.5804056973539592,2.2145914950617858,-0.7204399279715137,2.295268308934711,-0.8467119972205823,2.7233952504181254,-0.9147223451860053,2.838714189558364,-0.9777620119262187,1.8640257616245515,-1.565538864506166,2.010174681464275,2.3257622202164954,1.826985560971951,2.3767861906153325,2.553040575470747,-1.1596710153244114,2.4642342116771285,0.30500309896304134,-2.2611000000000003
2.184326207323437,0.023945598520597425,2.060960196122189,-0.22997378692483098,2.13256072598179,-0.4682611864169899,2.2149246217422403,-0.6105188377564246,2.166567432599314,-0.7475952915119335,2.374831501391203,-0.8582924233464015,2.7539668280500367,-0.9214635969144075,2.9289939842888018,-1.1307865648737454,1.744060532206381,-1.60032941135275,1.9591923080698355,2.33345472824527,1.0969896991312198,-1.5521989087871766,2.549069014365832,-1.1342402661266235,2.3818828959459792,0.16711576579155893,0.09010000000000007
2.16992433047791,-0.03493920190952563,2.0513257786124544,-0.26522163739351245,2.1452133926488512,-0.48731121317609605,2.242010178389028,-0.6327248563719434,2.1817221385868533,-0.7637786841047253,2.3829133618325264,-0.8720658091673902,2.7929461040270698,-0.9382014806811977,2.9031956530692193,-1.1492145447174982,1.0968925562697576,2.7474747644539788,1.8971955829592242,2.35075287413124,2.043903569153887,-1.2948891685004449,2.6010089888349066,-1.092395858969254,2.3306255726735667,0.09091627155412811,0.9608000000000001
2.136989770682119,-0.07362792471323426,2.0417395255027038,-0.30057666548354056,2.1495525697223643,-0.5138086000176888,2.2562308481181605,-0.6514259127501982,2.2754351539870377,-0.7757024015997033,2.3766855597659533,-0.8907656455014263,2.8242503518633026,-0.9518351657287444,2.9138556604608947,-1.1507042799216831,1.7955785947710539,2.4166014380587515,1.8504121540889191,2.363913688750061,2.423636627054474,-1.2416085400052443,2.1270934159081967,-0.1435990900862911,2.2706848504360995,0.040747883891280506,1.0716
2.114498098840478,-0.11917536537488282,2.054716109344551,-0.35048827189390963,2.164927077293827,-0.5367359109583538,2.1484050572459568,-0.5965746705284666,2.2898258536404024,-0.7933653841061372,2.383940540365888,-0.900739421198234,2.8184621799839706,-0.9610150279600455,3.078505848622022,-1.1663225364931826,2.0338224602948984,2.3383231056280276,1.854786197921476,2.3703768547787365,2.528796055438242,-1.2156635356806929,2.4154492108094505,0.175609913826289,2.2200392428963975,-0.005945875875898791,-5.821400000000001
2.0970672139919557,-0.18129085032251552,2.065732579498132,-0.3879765725661959,2.1754452417838537,-0.5618639336731023,2.245707489857041,-0.6639058943354142,2.2895354332265736,-0.808872380214301,2.605063624942774,-0.906127167593584,2.8223566553502777,-0.9671093516455138,2.0859823704911817,-1.4171228268426344,2.04602451842592,2.32491255727129,1.818042202480457,2.384085003280003,2.533080513919761,-1.2072249319371322,2.5240692106200266,0.2786642749177724,2.1821537090681753,-0.01186928676665903,-4.578900000000001
2.074279231444021,-0.2015272598444883,2.1004661220786227,-0.4368601266273735,2.190518815258155,-0.5804056973539592,2.2145914950617858,-0.7204399279715137,2.295268308934711,-0.8467119972205823,2.7233952504181254,-0.9147223451860053,2.838714189558364,-0.9777620119262187,1.8640257616245515,-1.565538864506166,2.010174681464275,2.3257622202164954,1.826985560971951,2.3767861906153325,2.553040575470747,-1.1596710153244114,2.4642342116771285,0.30500309896304134,2.091461044341967,0.10427880028870207,-1.0875
2.060960196122189,-0.22997378692483098,2.13256072598179,-0.4682611864169899,2.2149246217422403,-0.6105188377564246,2.166567432599314,-0.7475952915119335,2.374831501391203,-0.8582924233464015,2.7539668280500367,-0.9214635969144075,2.9289939842888018,-1.1307865648737454,1.744060532206381,-1.60032941135275,1.9591923080698355,2.33345472824527,1.0969896991312198,-1.5521989087871766,2.549069014365832,-1.1342402661266235,2.3818828959459792,0.16711576579155893,2.0500973854917244,0.21246287336584602,-7.511700000000001
2.0513257786124544,-0.26522163739351245,2.1452133926488512,-0.48731121317609605,2.242010178389028,-0.6327248563719434,2.1817221385868533,-0.7637786841047253,2.3829133618325264,-0.8720658091673902,2.7929461040270698,-0.9382014806811977,2.9031956530692193,-1.1492145447174982,1.0968925562697576,2.7474747644539788,1.8971955829592242,2.35075287413124,2.043903569153887,-1.2948891685004449,2.6010089888349066,-1.092395858969254,2.3306255726735667,0.09091627155412811,2.0065534356203907,0.25631667618410764,-2.2583
2.0417395255027038,-0.30057666548354056,2.1495525697223643,-0.5138086000176888,2.2562308481181605,-0.6514259127501982,2.2754351539870377,-0.7757024015997033,2.3766855597659533,-0.8907656455014263,2.8242503518633026,-0.9518351657287444,2.9138556604608947,-1.1507042799216831,1.7955785947710539,2.4166014380587515,1.8504121540889191,2.363913688750061,2.423636627054474,-1.2416085400052443,2.1270934159081967,-0.1435990900862911,2.2706848504360995,0.040747883891280506,2.0003635119647605,0.10804046662984265,-5.0071
2.054716109344551,-0.35048827189390963,2.164927077293827,-0.5367359109583538,2.1484050572459568,-0.5965746705284666,2.2898258536404024,-0.7933653841061372,2.383940540365888,-0.900739421198234,2.8184621799839706,-0.9610150279600455,3.078505848622022,-1.1663225364931826,2.0338224602948984,2.3383231056280276,1.854786197921476,2.3703768547787365,2.528796055438242,-1.2156635356806929,2.4154492108094505,0.175609913826289,2.2200392428963975,-0.005945875875898791,2.0017177348467463,0.04707696911622193,-1.4481000000000002
2.065732579498132,-0.3879765725661959,2.1754452417838537,-0.5618639336731023,2.245707489857041,-0.6639058943354142,2.2895354332265736,-0.808872380214301,2.605063624942774,-0.906127167593584,2.8223566553502777,-0.9671093516455138,2.0859823704911817,-1.4171228268426344,2.04602451842592,2.32491255727129,1.818042202480457,2.384085003280003,2.533080513919761,-1.2072249319371322,2.5240692106200266,0.2786642749177724,2.1821537090681753,-0.01186928676665903,1.9679525121303127,-0.09271631421080218,1.7192999999999998
